Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,149912,-,b'Haryana',b'India',28.42,77.41,5,201,5,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,3.1.1
Year,Month,Day,Hour,Minute,Temperature,,,,Clearsky DNI,,,,Dew Point,,DNI,,,,Relative Humidity,,,Pressure,,,Wind Speed,,,,,,,,,,,,,,,,,,,,
2020,1,1,0,0,7.1,,,,0,,,,-4.9,,0,,,,42.26,,,994,,,1.3,,,,,,,,,,,,,,,,,,,,
2020,1,1,1,0,6.5,,,,0,,,,-4.9,,0,,,,44.11,,,993,,,1.3,,,,,,,,,,,,,,,,,,,,
2020,1,1,2,0,6.1,,,,0,,,,-4.8,,0,,,,45.43,,,993,,,1.3,,,,,,,,,,,,,,,,,,,,
2020,1,1,3,0,5.3,,,,0,,,,-4.8,,0,,,,48.12,,,993,,,1.3,,,,,,,,,,,,,,,,,,,,
2020,1,1,4,0,4.9,,,,0,,,,-4.8,,0,,,,49.64,,,993,,,1.3,,,,,,,,,,,,,,,,,,,,
2020,1,1,5,0,4.8,,,,0,,,,-2.4,,0,,,,59.43,,,997,,,1.1,,,,,,,,,,,,,,,,,,,,
2020,1,1,6,0,4.6,,,,0,,,,-2.4,,0,,,,60.46,,,998,,,1.1,,,,,,,,,,,,,,,,,,,,
2020,1,1,7,0,5.6,,,,28,,,,-1.4,,28,,,,60.63,,,998,,,0.8,,,,,,,,,,,,,,,,,,,,
2020,1,1,8,0,8.3,,,,217,,,,-1.5,,217,,,,50.18,,,999,,,1.7,,,,,,,,,,,,,,,,,,,,
2020,1,1,9,0,11.2,,,,369,,,,-1.1,,369,,,,42.43,,,1000,,,1.9,,,,,,,,,,,,,,,,,,,,
2020,1,1,10,0,15.4,,,,466,,,,-1.3,,466,,,,31.83,,,1000,,,2.5,,,,,,,,,,,,,,,,,,,,
2020,1,1,11,0,17.5,,,,492,,,,-1.2,,492,,,,28.1,,,999,,,2.7,,,,,,,,,,,,,,,,,,,,
2020,1,1,12,0,18.9,,,,510,,,,-1.3,,510,,,,25.53,,,998,,,2.7,,,,,,,,,,,,,,,,,,,,
2020,1,1,13,0,19.7,,,,494,,,,-1.3,,242,,,,24.22,,,997,,,2.7,,,,,,,,,,,,,,,,,,,,
2020,1,1,14,0,19.6,,,,482,,,,-1.1,,482,,,,24.78,,,997,,,2.5,,,,,,,,,,,,,,,,,,,,
2020,1,1,15,0,18,,,,372,,,,2.5,,141,,,,35.62,,,996,,,1.4,,,,,,,,,,,,,,,,,,,,
2020,1,1,16,0,14.4,,,,204,,,,3.3,,62,,,,47.28,,,997,,,1.1,,,,,,,,,,,,,,,,,,,,
2020,1,1,17,0,12.7,,,,0,,,,1.3,,0,,,,45.91,,,997,,,1.3,,,,,,,,,,,,,,,,,,,,
2020,1,1,18,0,11.9,,,,0,,,,1.4,,0,,,,48.64,,,998,,,1.3,,,,,,,,,,,,,,,,,,,,
2020,1,1,19,0,11.1,,,,0,,,,1.5,,0,,,,51.5,,,999,,,1.3,,,,,,,,,,,,,,,,,,,,
2020,1,1,20,0,10.2,,,,0,,,,1.6,,0,,,,55.07,,,999,,,1.3,,,,,,,,,,,,,,,,,,,,
2020,1,1,21,0,9.1,,,,0,,,,2.1,,0,,,,61.46,,,999,,,1.3,,,,,,,,,,,,,,,,,,,,
2020,1,1,22,0,8.1,,,,0,,,,2.6,,0,,,,68.5,,,999,,,1.3,,,,,,,,,,,,,,,,,,,,
2020,1,1,23,0,7.3,,,,0,,,,3.2,,0,,,,75.35,,,999,,,1.3,,,,,,,,,,,,,,,,,,,,
2020,1,2,0,0,6.8,,,,0,,,,3.7,,0,,,,80.75,,,998,,,1.3,,,,,,,,,,,,,,,,,,,,
2020,1,2,1,0,6.4,,,,0,,,,4.2,,0,,,,85.6,,,998,,,1.3,,,,,,,,,,,,,,,,,,,,
2020,1,2,2,0,6,,,,0,,,,4.5,,0,,,,90.36,,,998,,,1.2,,,,,,,,,,,,,,,,,,,,
2020,1,2,3,0,5.6,,,,0,,,,4.9,,0,,,,95.14,,,997,,,1.1,,,,,,,,,,,,,,,,,,,,
2020,1,2,4,0,5.4,,,,0,,,,5.3,,0,,,,99.22,,,998,,,1.1,,,,,,,,,,,,,,,,,,,,
2020,1,2,5,0,5.3,,,,0,,,,5.3,,0,,,,100,,,998,,,1,,,,,,,,,,,,,,,,,,,,
2020,1,2,6,0,5.2,,,,0,,,,5.2,,0,,,,100,,,999,,,0.9,,,,,,,,,,,,,,,,,,,,
2020,1,2,7,0,6.5,,,,38,,,,6,,38,,,,96.7,,,1000,,,1,,,,,,,,,,,,,,,,,,,,
2020,1,2,8,0,9,,,,288,,,,6.4,,288,,,,83.66,,,1001,,,1.5,,,,,,,,,,,,,,,,,,,,
2020,1,2,9,0,12.7,,,,471,,,,7.3,,471,,,,69.81,,,1001,,,1.6,,,,,,,,,,,,,,,,,,,,
2020,1,2,10,0,16.7,,,,580,,,,8.2,,580,,,,57.29,,,1001,,,2.5,,,,,,,,,,,,,,,,,,,,
2020,1,2,11,0,18.4,,,,474,,,,8.5,,474,,,,52.64,,,999,,,3.1,,,,,,,,,,,,,,,,,,,,
2020,1,2,12,0,19.3,,,,475,,,,8.8,,475,,,,50.57,,,997,,,3.2,,,,,,,,,,,,,,,,,,,,
2020,1,2,13,0,19.7,,,,447,,,,8.9,,447,,,,49.86,,,996,,,3,,,,,,,,,,,,,,,,,,,,
2020,1,2,14,0,19.6,,,,432,,,,9,,432,,,,50.39,,,996,,,2.5,,,,,,,,,,,,,,,,,,,,
2020,1,2,15,0,18.9,,,,321,,,,9.1,,321,,,,52.97,,,995,,,1.8,,,,,,,,,,,,,,,,,,,,
2020,1,2,16,0,16.6,,,,159,,,,9.5,,58,,,,62.9,,,996,,,0.8,,,,,,,,,,,,,,,,,,,,
2020,1,2,17,0,15.9,,,,0,,,,8.8,,0,,,,62.72,,,996,,,0.9,,,,,,,,,,,,,,,,,,,,
