Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,149912,-,b'Haryana',b'India',28.42,77.41,5,201,5,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,3.1.1
Year,Month,Day,Hour,Minute,Temperature,Alpha,Aerosol Optical Depth,Asymmetry,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Type,Dew Point,DHI,DNI,Fill Flag,GHI,Ozone,Relative Humidity,Solar Zenith Angle,Surface Albedo,Pressure,Precipitable Water,Wind Direction,Wind Speed
2020,1,1,0,0,7.1000000000000005,1.83,0.3921,0.63,0,0,0,4,-4.9,0,0,0,0,0.248,42.26,174.41,0.17,994,0.5,316,1.3
2020,1,1,1,0,6.5,1.83,0.38620000000000004,0.63,0,0,0,4,-4.9,0,0,0,0,0.247,44.11,164.14000000000001,0.17,993,0.5,322,1.3
2020,1,1,2,0,6.1000000000000005,1.83,0.37610000000000005,0.63,0,0,0,0,-4.800000000000001,0,0,0,0,0.247,45.43,151.14000000000001,0.17,993,0.5,329,1.3
2020,1,1,3,0,5.300000000000001,1.82,0.3632,0.63,0,0,0,0,-4.800000000000001,0,0,0,0,0.248,48.120000000000005,137.96,0.17,993,0.5,335,1.3
2020,1,1,4,0,4.9,1.8,0.3477,0.63,0,0,0,0,-4.800000000000001,0,0,0,0,0.249,49.64,124.86,0.17,993,0.5,340,1.3
2020,1,1,5,0,4.800000000000001,1.82,0.7607,0.64,0,0,0,1,-2.4000000000000004,0,0,0,0,0.335,59.43,111.93,0.17,997,1,93,1.1
2020,1,1,6,0,4.6000000000000005,1.81,0.7612,0.64,0,0,0,7,-2.4000000000000004,0,0,0,0,0.337,60.46,99.4,0.17,998,1,101,1.1
2020,1,1,7,0,5.6000000000000005,1.81,0.7537,0.64,12,28,13,4,-1.4000000000000001,12,28,5,13,0.339,60.63,87.16,0.17,998,1,108,0.8
2020,1,1,8,0,8.3,1.81,0.7365,0.64,112,217,164,3,-1.5,112,217,5,164,0.341,50.18,76.17,0.17,999,1,115,1.7000000000000002
2020,1,1,9,0,11.200000000000001,1.82,0.7170000000000001,0.64,191,369,339,0,-1.1,191,369,0,339,0.342,42.43,66.27,0.17,1000,1,116,1.9000000000000001
2020,1,1,10,0,15.4,1.82,0.7017,0.64,237,466,482,0,-1.3,237,466,0,482,0.343,31.830000000000002,58.26,0.17,1000,1,118,2.5
2020,1,1,11,0,17.5,1.84,0.7638,0.64,272,492,567,3,-1.2000000000000002,272,492,5,567,0.34500000000000003,28.1,53.03,0.17,999,1,113,2.7
2020,1,1,12,0,18.900000000000002,1.84,0.7494000000000001,0.64,277,510,594,4,-1.3,277,510,5,594,0.34600000000000003,25.53,51.46,0.17,998,1,109,2.7
2020,1,1,13,0,19.700000000000003,1.84,0.74,0.64,264,494,555,7,-1.3,272,242,1,414,0.34900000000000003,24.22,53.86,0.17,997,1,108,2.7
2020,1,1,14,0,19.6,1.87,0.6332,0.64,218,482,461,1,-1.1,218,482,0,461,0.353,24.78,59.76,0.17,997,1,108,2.5
2020,1,1,15,0,18,1.87,0.6435000000000001,0.64,170,372,307,7,2.5,157,141,3,210,0.357,35.62,68.24,0.17,996,1.1,108,1.4000000000000001
2020,1,1,16,0,14.4,1.86,0.6471,0.64,90,204,130,7,3.3000000000000003,76,62,3,88,0.359,47.28,78.44,0.17,997,1.1,109,1.1
2020,1,1,17,0,12.700000000000001,1.87,0.6404000000000001,0.64,0,0,0,7,1.3,0,0,3,0,0.362,45.910000000000004,89.44,0.17,997,1.1,110,1.3
2020,1,1,18,0,11.9,1.87,0.6228,0.64,0,0,0,3,1.4000000000000001,0,0,0,0,0.363,48.64,102.03,0.17,998,1.1,111,1.3
2020,1,1,19,0,11.100000000000001,1.8800000000000001,0.6024,0.64,0,0,0,3,1.5,0,0,0,0,0.361,51.5,114.64,0.17,999,1.1,111,1.3
2020,1,1,20,0,10.200000000000001,1.8800000000000001,0.5821000000000001,0.64,0,0,0,3,1.6,0,0,0,0,0.358,55.07,127.58,0.17,999,1.1,107,1.3
2020,1,1,21,0,9.1,1.8800000000000001,0.5618000000000001,0.64,0,0,0,4,2.1,0,0,0,0,0.356,61.46,140.70000000000002,0.17,999,1,102,1.3
2020,1,1,22,0,8.1,1.87,0.5471,0.64,0,0,0,6,2.6,0,0,0,0,0.355,68.5,153.87,0.17,999,1.1,102,1.3
2020,1,1,23,0,7.300000000000001,1.85,0.542,0.64,0,0,0,7,3.2,0,0,0,0,0.354,75.35000000000001,166.74,0.17,999,1.1,105,1.3
2020,1,2,0,0,6.800000000000001,1.83,0.5358,0.64,0,0,0,6,3.7,0,0,0,0,0.354,80.75,174.4,0.17,998,1.1,109,1.3
2020,1,2,1,0,6.4,1.81,0.5183,0.64,0,0,0,7,4.2,0,0,0,0,0.354,85.60000000000001,164.16,0.17,998,1.2000000000000002,110,1.3
2020,1,2,2,0,6,1.79,0.4983,0.64,0,0,0,7,4.5,0,0,0,0,0.354,90.36,151.16,0.17,998,1.2000000000000002,113,1.2000000000000002
2020,1,2,3,0,5.6000000000000005,1.77,0.4914,0.64,0,0,0,8,4.9,0,0,0,0,0.352,95.14,137.98,0.17,997,1.2000000000000002,119,1.1
2020,1,2,4,0,5.4,1.74,0.4888,0.64,0,0,0,7,5.300000000000001,0,0,0,0,0.35000000000000003,99.22,124.88000000000001,0.17,998,1.3,122,1.1
2020,1,2,5,0,5.300000000000001,1.72,0.48600000000000004,0.64,0,0,0,7,5.300000000000001,0,0,0,0,0.34900000000000003,100,112,0.18,998,1.3,115,1
2020,1,2,6,0,5.2,1.69,0.4883,0.64,0,0,0,4,5.2,0,0,0,0,0.34800000000000003,100,99.46000000000001,0.18,999,1.4000000000000001,100,0.9
2020,1,2,7,0,6.5,1.67,0.49460000000000004,0.64,15,38,17,3,6,15,38,5,17,0.34800000000000003,96.7,87.21000000000001,0.18,1000,1.4000000000000001,77,1
2020,1,2,8,0,9,1.6600000000000001,0.47240000000000004,0.64,106,288,175,0,6.4,106,288,0,175,0.35100000000000003,83.66,76.2,0.18,1001,1.4000000000000001,70,1.5
2020,1,2,9,0,12.700000000000001,1.67,0.44110000000000005,0.64,162,471,351,0,7.300000000000001,162,471,0,351,0.354,69.81,66.28,0.18,1001,1.5,90,1.6
2020,1,2,10,0,16.7,1.6600000000000001,0.4213,0.64,191,580,496,0,8.200000000000001,191,580,0,496,0.357,57.29,58.24,0.18,1001,1.5,115,2.5
2020,1,2,11,0,18.400000000000002,1.62,0.7374,0.64,280,474,565,1,8.5,280,474,0,565,0.361,52.64,52.980000000000004,0.18,999,1.5,122,3.1
2020,1,2,12,0,19.3,1.6,0.7649,0.64,293,475,590,0,8.8,293,475,0,590,0.363,50.57,51.38,0.18,997,1.5,124,3.2
2020,1,2,13,0,19.700000000000003,1.59,0.7788,0.64,284,447,548,0,8.9,284,447,0,548,0.364,49.86,53.75,0.18,996,1.6,122,3
